EETrajData1,EETrajData2,EETrajData3,EETrajData4,EETrajData5,EETrajData6
EE X (Mm),EE Y (Mm),EE Z (Mm),EE Roll (Deg),EE Pitch (Deg),EE Yaw (Deg)
1513.04046153278,9.26017671119961,1478.7781673701,-17.3688531729626,-82.0462512417301,-159.916725280339
1514.19238408409,9.35530899374129,1478.33862604136,-17.3548945879295,-81.9667167466005,-159.904156197694
1515.34944325147,9.45096191968043,1477.89537057426,-17.3408662221149,-81.8867839839502,-159.891535244646
1516.51162830078,9.54713601208172,1477.44837899025,-17.3267680545891,-81.8064529109718,-159.87886256357
1517.67892839369,9.64383179149506,1476.99762922445,-17.3126000639892,-81.7257234848863,-159.866138297213
1518.851332587,9.74104977587312,1476.54309912611,-17.2983622285161,-81.6445956629466,-159.853362588693
1520.02882983187,9.83879048048836,1476.08476645897,-17.2840545259287,-81.5630694024406,-159.840535581492
1521.21140897318,9.93705441784941,1475.62260890175,-17.269676933539,-81.4811446606947,-159.827657419452
1522.39905874874,10.0358420976169,1475.15660404857,-17.2552294282083,-81.3988213950771,-159.814728246769
1523.59176778861,10.1351540265187,1474.68672940937,-17.2407119863404,-81.316099563001,-159.801748207992
1524.78952461436,10.2349907082649,1474.2129624104,-17.2261245838784,-81.2329791219285,-159.788717448015
1525.99231763836,10.3353526434614,1473.7352803946,-17.2114671962985,-81.1494600293734,-159.775636112071
1527.20013516302,10.4362403295241,1473.25366062215,-17.1967397986051,-81.065542242905,-159.762504345734
1528.4129653801,10.5376542605915,1472.76808027083,-17.181942365328,-80.9812257201512,-159.749322294904
1529.63079636994,10.6395949274374,1472.27851643657,-17.1670748705131,-80.8965104188024,-159.736090105812
1530.85361610075,10.7420628173823,1471.78494613384,-17.1521372877208,-80.8113962966145,-159.722807925011
1532.08141242786,10.8450584142054,1471.28734629619,-17.1371295900207,-80.7258833114127,-159.709475899369
1533.31417309302,10.9485821980547,1470.7856937767,-17.1220517499837,-80.6399714210945,-159.696094176067
1534.55188572358,11.0526346453573,1470.27996534844,-17.1069037396796,-80.5536605836338,-159.682662902596
1535.79453783182,11.157216228729,1469.770137705,-17.0916855306715,-80.4669507570839,-159.669182226746
1537.04211681419,11.2623274168833,1469.25618746096,-17.0763970940095,-80.3798418995811,-159.655652296607
1538.29460995055,11.3679686745397,1468.73809115238,-17.0610384002262,-80.2923339693485,-159.642073260562
1539.55200440341,11.4741404623315,1468.21582523731,-17.0456094193312,-80.2044269246992,-159.628445267281
1540.81428721721,11.580843236713,1467.68936609631,-17.030110120806,-80.11612072404,-159.614768465718
1542.08144531758,11.6880774498663,1467.15869003293,-17.0145404735987,-80.0274153258747,-159.601043005103
1543.35346551053,11.7958435496071,1466.62377327425,-16.9989004461183,-79.9383106888082,-159.587269034942
1544.63033448174,11.9041419792902,1466.0845919714,-16.9831900062296,-79.8488067715494,-159.573446705007
1545.91203879579,12.0129731777144,1465.54112220008,-16.9674091212482,-79.7589035329155,-159.559576165333
1547.19856489542,12.122337579027,1464.9933399611,-16.951557757934,-79.6686009318348,-159.545657566214
1548.48989910073,12.232235612627,1464.44122118089,-16.9356358824867,-79.5778989273511,-159.531691058196
1549.78602760845,12.3426677030685,1463.88474171208,-16.9196434605401,-79.4867974786266,-159.517676792073
1551.08693649119,12.4536342699631,1463.32387733402,-16.9035804571563,-79.3952965449462,-159.503614918883
1552.39261169662,12.565135727882,1462.75860375334,-16.8874468368205,-79.3033960857206,-159.489505589899
1553.70303904676,12.6771724862567,1462.1888966045,-16.8712425634354,-79.2110960604901,-159.475348956628
1555.01820423718,12.7897449492804,1461.61473145038,-16.8549676003151,-79.1183964289287,-159.461145170805
1556.33809283626,12.9028535158078,1461.03608378279,-16.8386219101802,-79.0252971508469,-159.446894384385
1557.66269028437,13.0164985792542,1460.45292902312,-16.822205455152,-78.9317981861963,-159.432596749543
1558.99198189317,13.1306805274952,1459.86524252284,-16.8057181967461,-78.8378994950727,-159.418252418663
1560.32595284475,13.2453997427643,1459.27299956414,-16.7891600958681,-78.74360103772,-159.403861544336
1561.66458819093,13.3606566015508,1458.6761753605,-16.7725311128061,-78.648902774534,-159.389424279355
1563.00787285245,13.476451474497,1458.07474505727,-16.7558312072264,-78.553804666066,-159.374940776708
1564.3557916182,13.5927847262945,1457.46868373229,-16.7390603381671,-78.4583066730267,-159.360411189575
1565.70832914443,13.7096567155801,1456.85796639649,-16.7222184640323,-78.3624087562896,-159.34583567132
1567.06546995399,13.8270677948313,1456.24256799449,-16.7053055425861,-78.2661108768952,-159.331214375487
1568.42719843553,13.9450183102604,1455.62246340522,-16.6883215309474,-78.1694129960546,-159.316547455796
1569.79349884274,14.0635086017091,1454.99762744256,-16.6712663855831,-78.0723150751533,-159.301835066134
1571.16435529354,14.1825390025416,1454.36803485594,-16.6541400623025,-77.9748170757549,-159.287077360554
1572.53975176931,14.3021098395376,1453.733660331,-16.6369425162518,-77.876918959605,-159.272274493266
1573.91967211413,14.4222214327843,1453.09447849019,-16.6196737019072,-77.7786206886351,-159.257426618635
1575.30410003394,14.5428740955682,1452.45046389346,-16.6023335730697,-77.6799222249663,-159.242533891171
1576.69301909579,14.6640681342658,1451.80159103888,-16.5849220828587,-77.5808235309132,-159.227596465528
1578.08641272707,14.7858038482344,1451.1478343633,-16.5674391837059,-77.4813245689876,-159.212614496494
1579.48426421465,14.9080815297014,1450.48916824302,-16.549884827349,-77.3814253019028,-159.197588138992
1580.88655670418,15.0309014636536,1449.82556699444,-16.5322589648257,-77.2811256925771,-159.182517548068
1582.29327319923,15.1542639277258,1449.15700487476,-16.5145615464676,-77.1804257041377,-159.167402878888
1583.70439656054,15.2781691920887,1448.48345608265,-16.4967925218942,-77.0793252999248,-159.152244286732
1585.11990950521,15.4026175193359,1447.8048947589,-16.4789518400061,-76.9778244434953,-159.137041926991
1586.53979460589,15.527609164371,1447.12129498717,-16.4610394489789,-76.8759230986269,-159.121795955158
1587.96403429005,15.6531443742932,1446.43263079463,-16.4430552962572,-76.773621229322,-159.106506526821
1589.3926108391,15.7792233882831,1445.73887615272,-16.424999328548,-76.6709187998115,-159.091173797665
1590.82550638768,15.9058464374872,1445.0400049778,-16.4068714918143,-76.5678157745591,-159.075797923456
1592.2627029228,16.0330137449023,1444.3359911319,-16.3886717312686,-76.4643121182647,-159.060379060044
1593.70418228308,16.1607255252591,1443.62680842345,-16.3703999913667,-76.3604077958691,-159.044917363351
1595.14992615793,16.2889819849047,1442.91243060797,-16.352056215801,-76.2561027725574,-159.029412989372
1596.5999160868,16.4177833216857,1442.19283138883,-16.3336403474943,-76.1513970137632,-159.013866094161
1598.05413345832,16.547129724829,1441.467984418,-16.3151523285929,-76.0462904851727,-158.998276833832
1599.51255950956,16.6770213748238,1440.73786329675,-16.2965921004602,-75.9407831527289,-158.982645364548
1600.97517532519,16.8074584433012,1440.00244157645,-16.27795960367,-75.8348749826349,-158.966971842522
1602.44196183671,16.9384410929146,1439.2616927593,-16.2592547779998,-75.728565941359,-158.951256424002
1603.91289982166,17.0699694772189,1438.51559029913,-16.2404775624244,-75.6218559956379,-158.935499265274
1605.38796990277,17.2020437405487,1437.7641076021,-16.2216278951088,-75.5147451124811,-158.91970052265
1606.86715254724,17.3346640178967,1437.00721802756,-16.2027057134018,-75.4072332591751,-158.903860352465
1608.35042806588,17.4678304347907,1436.24489488878,-16.1837109538289,-75.2993204032874,-158.887978911069
1609.83777661233,17.6015431071707,1435.47711145374,-16.1646435520853,-75.1910065126706,-158.872056354823
1611.32917818229,17.7358021412646,1434.70384094598,-16.1455034430301,-75.0822915554663,-158.856092840093
1612.82361389998,17.8705175434222,1433.92557779555,-16.1263033988897,-74.9732484082435,-158.840099210812
1614.31706275322,18.005327650271,1433.14439930378,-16.1070948803717,-74.864169605285,-158.824118425573
1615.8090998364,18.1401940998236,1432.36052621012,-16.0878832458319,-74.7550857934163,-158.808154945778
1617.29972014584,18.2751163551742,1431.57396107293,-16.0686684618759,-74.6459969962805,-158.792208738728
1618.78891868284,18.4100938788189,1430.7847064594,-16.049450495103,-74.5369032375039,-158.776279771742
1620.27669045363,18.5451261326583,1429.99276494556,-16.0302293121076,-74.4278045406957,-158.760368012152
1621.7630304694,18.6802125779991,1429.19813911628,-16.011004879478,-74.3187009294488,-158.744473427306
1623.24793374635,18.8153526755567,1428.40083156524,-15.9917771637962,-74.2095924273392,-158.728595984569
1624.73139530569,18.9505458854572,1427.60084489493,-15.972546131638,-74.1004790579266,-158.712735651318
