AllTrq1,AllTrq2,AllTrq3,AllTrq4,AllTrq5,AllTrq6
J1 Trq (Nm),J2 Trq (Nm),J3 Trq (Nm),J4 Trq (Nm),J5 Trq (Nm),J6 Trq (Nm)
4.72523650954644,2132.23294636954,506.85712140268,-2.38498687966364,1.15367742579644,4.51223443230407e-05
4.70159015576205,2131.21496079057,506.75001535222,-2.36472726739705,1.15279407519219,4.34678585694519e-05
4.67791949866188,2130.19435285146,506.642969098578,-2.34445823678406,1.15190890728857,4.1814675354563e-05
4.65422477074089,2129.1711242738,506.535982852749,-2.32417993346546,1.15102192317914,4.01628302461998e-05
4.63050620452902,2128.14527678297,506.429056825605,-2.30389250306394,1.15013312396193,3.85123587915364e-05
4.60676403258239,2127.11681210814,506.322191227895,-2.28359609118313,1.14924251073938,3.68632965161598e-05
4.58299848748584,2126.08573198232,506.215386270244,-2.26329084340656,1.1483500846184,3.52156789231225e-05
4.55920980184418,2125.0520381423,506.108642163155,-2.24297690529662,1.1474558467103,3.35695414920183e-05
4.53539820828535,2124.01573232866,506.001959117006,-2.22265442239366,1.14655979813086,3.19249196780412e-05
4.51156393945248,2122.97681628578,505.89533734205,-2.20232354021486,1.14566194000026,3.02818489110514e-05
4.48770722800637,2121.93529176186,505.78877704842,-2.18198440425333,1.14476227344313,2.86403645946458e-05
4.46382830661546,2120.89116050884,505.682278446118,-2.16163715997701,1.14386079958849,2.7000502105216e-05
4.43992740796163,2119.8444242825,505.575841745027,-2.1412819528278,1.14295751956981,2.53622967910337e-05
4.41600476472873,2118.79508484238,505.469467154904,-2.12091892822046,1.14205243452497,2.37257839713048e-05
4.39206060960824,2117.7431439518,505.363154885378,-2.10054823154162,1.14114554559624,2.209099893525e-05
4.36809517528901,2116.68860337787,505.256905145959,-2.08017000814884,1.14023685393033,2.04579769411683e-05
4.34410869445943,2115.63146489148,505.150718146025,-2.05978440336957,1.13932636067833,1.88267532155187e-05
4.3201013998017,2114.5717302673,505.044594094832,-2.03939156250019,1.13841406699574,1.71973629519892e-05
4.29607352399084,2113.50940128375,504.938533201509,-2.01899163080498,1.13749997404248,1.55698413105761e-05
4.27202529969185,2112.44447972305,504.832535675061,-1.99858475351517,1.13658408298283,1.39442234166548e-05
4.24795695955595,2111.37696737118,504.726601724366,-1.97817107582794,1.13566639498548,1.23205443600617e-05
4.22386873621874,2110.30686601788,504.620731558174,-1.95775074290542,1.13474691122351,1.06988391941768e-05
4.199760862296,2109.23417745667,504.51492538511,-1.93732389987371,1.13382563287439,9.07914293499053e-06
4.17563357038099,2108.15890348481,504.409183413671,-1.91689069182191,1.13290256111994,7.46149056019902e-06
4.15148709304541,2107.08104590333,504.303505852229,-1.89645126380115,1.13197769714639,5.84591700828537e-06
4.12732166283115,2106.00060651703,504.197892909029,-1.87600576082356,1.13105104214433,4.23245717759218e-06
